Meat,Category,Value,,,,,,,,
Beef,Greenhouse emmissions,49.89,,,,,,,,
Beef,Eutrophying emissions,301.41,,,,,,,,
Beef,Water footprint,1451,,,,,,,,
Pork,Greenhouse emmissions,7.61,,,,,,,,
Pork,Eutrophying emissions,76.38,,,,,,,,
Pork,Water footprint,1796,,,,,,,,
Poultry Meat,Greenhouse emmissions,5.7,,,,,,,,
Poultry Meat,Eutrophying emissions,48.7,,,,,,,,
Poultry Meat,Water footprint,660,,,,,,,,
Fish,Greenhouse emmissions,5.976759483,,,,,,,,
Fish,Eutrophying emissions,253.12,,,,,,,,
Fish,Water footprint,3691,,,,,,,,
