Country Name,Country Code,Indicator Name,Indicator Code,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,7.847447264,8.22808022,7.899890086,8.952044025,8.605736636,8.81095314,8.726754808,8.883090894,9.24344329,9.105185102,26.19487524,25.93402441,25.67116178,26.42045209,26.51729342,27.20070778,26.94772597,27.89502282,26.22955267,25.91532206,24.67052887,24.50751622,13.15772231,8.353561008,8.410064178,8.610373679,8.426910901
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.210643419,0.183363552,0.096196581,0.085087108,0.075806494,0.068639862,0.062434611,0.056642345,0.052763218,0.04072254,0.037234781,0.037846136,0.047377324,0.051255589,0.037075331,0.051743965,0.062427532,0.083892806,0.151720912,0.238398541,0.28998763,0.406424217,0.345148783,0.280454641,0.253727945,0.262555711,0.245101422
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,0.431743615,0.41553083,0.410522932,0.441721098,0.288119068,0.787032547,0.726233461,0.496361245,0.47581516,0.577082914,0.581961496,0.574316054,0.722958875,0.500225396,1.001878117,0.985736355,1.105019027,1.203134,1.185000494,1.234425074,1.244091538,1.262824619,1.361181055,1.295075373,1.664740736,1.240245462,1.202860579
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,1.678106654,1.3122126,0.774724911,0.723790292,0.600203708,0.654537133,0.636625313,0.49036506,0.560271437,0.960164412,0.978174681,1.053304176,1.229540709,1.412697196,1.376212735,1.412498211,1.302576367,1.322334855,1.484311139,1.495600199,1.578573584,1.803714725,1.697965557,1.697279396,1.90006971,1.602648034,1.577162624
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,7.467335669,7.182456636,6.912053389,6.736054846,6.494200424,6.662051684,7.065071473,7.239712718,7.660783886,7.975454404,8.019284294,7.786950001,7.590615141,7.315760706,7.358624941,7.299871936,6.746052128,6.519387064,6.427809974,6.121579863,6.122594702,5.867410176,5.916884031,5.901775324,5.832906215,5.969786312,6.072370208
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,2.940999793,3.253318297,3.449939794,3.735034752,3.741768301,3.422178818,3.422501862,3.277162044,3.350726129,3.328991156,3.706922177,3.608515545,3.605098095,3.797380771,4.070861267,4.187563397,4.287322663,4.118446523,4.408395616,4.56292492,4.63064477,4.572406668,4.956928314,4.801389535,4.981329527,4.933420267,4.712844702
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,28.44462414,29.43022518,28.31938861,30.36176287,31.87389257,29.24987806,28.9200595,27.58868547,28.96879086,26.42410404,35.91576427,30.70305133,24.33509305,28.76750975,27.81680566,25.29770249,23.34418587,21.97404471,22.1691104,21.25389119,18.55247271,19.18306458,24.04313711,23.99600159,24.54304265,21.02639249,22.04082852
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,3.438151412,3.539959219,3.619280358,3.471494485,3.558099412,3.674141708,3.830198391,3.870270007,3.876926392,4.030588815,3.854991948,3.587350317,3.309683688,3.546088324,4.094082917,4.168128548,4.465186021,4.414246417,4.718224428,4.445387803,4.606804136,4.644106454,4.625259616,4.589774171,4.588229602,4.664010748,4.619085482
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,1.692469568,0.759981244,0.824153606,1.059975483,0.809044887,1.032301987,1.081691081,0.97580205,1.128917501,1.161155504,1.00317471,1.136090873,1.214707803,1.458795567,1.480035034,1.724327205,1.909411071,1.509669013,1.463068919,1.709501839,1.974479488,1.897040086,1.898719374,1.642004093,1.755976031
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
