Year,Month,Anomaly
1950,January,-0.26
1950,February,-0.27
1950,March,-0.08
1950,April,-0.21
1950,May,-0.11
1950,June,-0.05
1950,July,-0.09
1950,August,-0.16
1950,September,-0.11
1950,October,-0.2
1950,November,-0.34
1950,December,-0.21
1951,January,-0.34
1951,February,-0.42
1951,March,-0.2
1951,April,-0.14
1951,May,0
1951,June,-0.07
1951,July,-0.01
1951,August,0.06
1951,September,0.05
1951,October,0.08
1951,November,-0.01
1951,December,0.16
1952,January,0.11
1952,February,0.11
1952,March,-0.08
1952,April,0.03
1952,May,-0.03
1952,June,-0.03
1952,July,0.04
1952,August,0.05
1952,September,0.07
1952,October,0
1952,November,-0.13
1952,December,-0.02
1953,January,0.08
1953,February,0.15
1953,March,0.11
1953,April,0.2
1953,May,0.11
1953,June,0.12
1953,July,0.01
1953,August,0.05
1953,September,0.04
1953,October,0.08
1953,November,-0.03
1953,December,0.05
1954,January,-0.24
1954,February,-0.1
1954,March,-0.15
1954,April,-0.14
1954,May,-0.2
1954,June,-0.18
1954,July,-0.19
1954,August,-0.17
1954,September,-0.1
1954,October,-0.02
1954,November,0.08
1954,December,-0.18
1955,January,0.13
1955,February,-0.16
1955,March,-0.32
1955,April,-0.22
1955,May,-0.2
1955,June,-0.14
1955,July,-0.11
1955,August,0.02
1955,September,-0.11
1955,October,-0.05
1955,November,-0.25
1955,December,-0.28
1955.524621,January,-0.13
1955.604036,February,-0.24
1955.683451,March,-0.21
1955.762866,April,-0.28
1955.842281,May,-0.29
1955.921696,June,-0.16
1956.001111,July,-0.09
1956.080526,August,-0.26
1956.159941,September,-0.19
1956.239356,October,-0.23
1956.318771,November,-0.15
1956.398186,December,-0.06
1956.557016,January,-0.09
1956.636431,February,-0.03
1956.715846,March,-0.05
1956.795261,April,0
1956.874676,May,0.09
1956.954091,June,0.16
1957.033506,July,0.02
1957.112921,August,0.15
1957.192336,September,0.09
1957.271751,October,0.01
1957.351166,November,0.07
1957.430581,December,0.15
1957.509996,January,0.39
1957.589411,February,0.22
1957.668826,March,0.08
1957.748241,April,0.01
1957.827656,May,0.06
1957.907071,June,-0.09
1957.986486,July,0.05
1958.065902,August,-0.05
1958.145317,September,-0.02
1958.224732,October,0.04
1958.304147,November,0.02
1958.383562,December,0.01
1958.542392,January,0.08
1958.621807,February,0.07
1958.701222,March,0.18
1958.780637,April,0.16
1958.860052,May,0.04
1958.939467,June,0.03
1959.018882,July,0.03
1959.098297,August,-0.01
1959.177712,September,-0.06
1959.257127,October,-0.07
1959.336542,November,-0.08
1959.415957,December,-0.01
1959.574787,January,0
1959.654202,February,0.13
1959.733617,March,-0.35
1959.813032,April,-0.15
1959.892447,May,-0.08
1959.971862,June,-0.04
1960.051277,July,-0.04
1960.130692,August,0.02
1960.210107,September,0.07
1960.289522,October,0.05
1960.368937,November,-0.11
1960.448352,December,0.19
1960.527767,January,0.07
1960.607183,February,0.19
1960.686598,March,0.09
1960.766013,April,0.13
1960.845428,May,0.12
1960.924843,June,0.12
1961.004258,July,0.01
1961.083673,August,0.01
1961.163088,September,0.09
1961.242503,October,0
1961.321918,November,0.03
1961.401333,December,-0.16
1961.560163,January,0.05
1961.639578,February,0.15
1961.718993,March,0.1
